Date,Equity MarketValue,Equity Count,Bond MarketValue,Bond Count,Commodity MarketValue,Commodity Count,FX MarketValue,FX Count,Derivatives MarketValue,Derivatives Count
2025-06-02,56234883.31,39,55161183.26,7,9657262.00,2,0.00,0,0.00,0
2025-06-03,61642554.28,42,55471240.42,7,10346808.00,2,0.00,0,0.00,0
2025-06-04,65723140.31,42,55546903.87,7,10401873.00,2,0.00,0,0.00,0
2025-06-05,67887469.39,44,55545582.96,7,10354494.00,2,0.00,0,0.00,0
2025-06-06,67945750.09,44,55485112.52,7,10239952.00,2,0.00,0,0.00,0
2025-06-09,67101862.73,44,45554599.09,7,10305964.00,2,0.00,0,0.00,0
2025-06-10,74334593.74,44,69235365.04,7,10319323.00,2,0.00,0,0.00,0
2025-06-11,75322582.57,45,69341921.19,7,10368418.00,2,0.00,0,0.00,0
2025-06-12,84846437.36,52,69647601.18,7,12566201.36,3,0.00,0,0.00,0
2025-06-13,92510313.23,51,72755554.11,7,13161336.21,3,0.00,0,0.00,0
2025-06-16,96747244.77,51,73567788.45,7,17666228.12,4,0.00,0,0.00,0
2025-06-17,97585759.28,53,73867853.47,7,17677677.37,4,0.00,0,0.00,0
2025-06-18,101573095.72,53,73896803.63,7,17585092.24,4,0.00,0,0.00,0
2025-06-19,104349462.30,55,73896803.63,7,17583931.32,4,0.00,0,0.00,0
2025-06-20,110252395.07,57,73869364.41,7,17592749.48,4,0.00,0,0.00,0
2025-06-23,90240377.41,62,55498532.34,7,13321423.05,4,0.00,0,0.00,0
2025-06-24,100905295.52,64,55702974.90,7,12186993.09,4,0.00,0,0.00,0
2025-06-25,104224746.50,65,55961080.50,7,12186851.75,3,0.00,0,0.00,0
2025-06-26,107570031.98,67,56237647.45,7,12435321.39,2,0.00,0,0.00,0
2025-06-27,115059180.28,69,57136289.31,7,12242112.58,2,0.00,0,0.00,0
2025-06-30,122734209.30,69,57406801.61,7,12372704.41,2,0.00,0,0.00,0
2025-07-01,129559998.45,82,54905323.37,7,10464263.11,2,0.00,0,0.00,0
2025-07-02,145456193.83,78,54813051.15,6,10619502.91,2,0.00,0,0.00,0
2025-07-03,160128244.86,81,54685815.22,6,11600429.16,2,0.00,0,0.00,0
2025-07-04,160844258.26,79,54685815.22,6,11600429.16,2,0.00,0,0.00,0
2025-07-07,160823489.13,82,54429538.74,6,11578411.52,2,0.00,0,0.00,0
2025-07-08,169786645.32,80,54410229.55,6,11500977.87,2,0.00,0,0.00,0
2025-07-09,163055379.40,81,54640662.59,6,11612156.13,2,0.00,0,0.00,0
2025-07-10,163182602.69,77,54654313.61,6,11672120.85,2,0.00,0,0.00,0
2025-07-11,150639161.02,77,54348795.01,6,11871627.73,2,0.00,0,0.00,0
2025-07-14,151540749.73,75,54293782.24,6,11876729.06,2,0.00,0,0.00,0
2025-07-15,157476232.11,76,54122414.93,6,12253646.39,2,0.00,0,0.00,0
2025-07-16,157951034.36,78,54192129.51,6,12379028.83,2,0.00,0,0.00,0
2025-07-17,69897743.80,77,31504420.56,6,4347678.15,2,0.00,0,0.00,0
