Date,Hong Kong MarketValueUSD,Hong Kong Count,Japan MarketValueUSD,Japan Count,Singapore MarketValueUSD,Singapore Count,United States MarketValueUSD,United States Count
2026-06-03,5237616.33,17,1632829.52,2,6173943.23,10,184725281.09,50
2026-06-04,5107250.63,17,1598598.70,2,6087586.21,10,183825743.56,50
2026-06-05,5077882.35,17,1551975.94,2,6022341.97,10,178187418.28,50
2026-06-08,4923443.58,17,1510533.90,2,5944282.22,10,177902998.75,50
2026-06-09,4860790.70,17,1536414.56,2,6042263.98,10,177216435.95,49
2026-06-10,4821920.94,17,1516503.88,2,6003579.07,10,175935580.09,49
2026-06-11,4791376.75,17,1503523.35,2,6054482.15,10,178464311.21,49
2026-06-12,4984893.64,17,1507743.90,2,6075973.51,10,163173487.58,49
2026-06-15,3316586.87,17,1573343.62,2,6165396.83,10,157941736.25,49
2026-06-16,3326233.08,16,1535361.80,2,6260458.22,10,153788194.08,55
2026-06-17,3283661.97,16,1533539.00,2,6284936.19,10,150784709.41,55
2026-06-18,3212576.09,16,1534586.18,2,6334768.01,10,158966576.09,59
2026-06-22,3249019.59,16,1511481.26,2,6276006.94,10,157138351.70,59
2026-06-23,3207434.31,16,1508854.94,2,9045716.21,10,160624023.24,58
2026-06-24,3190352.57,17,1494598.66,2,9082466.19,10,160169365.66,58
2026-06-25,3141227.69,16,1446906.40,2,9125106.90,10,166757783.82,60
2026-06-26,3098564.48,16,1465237.94,2,9111528.26,10,176517160.10,61
2026-06-29,3128829.40,16,1463351.28,2,9128791.62,10,187474194.39,61
2026-06-30,3083476.38,16,1455342.12,4,9056430.54,10,188094902.08,61
2026-07-01,3083476.38,16,1427428.67,2,8987224.12,10,186271558.10,60
2026-07-02,3089527.72,16,1482494.40,2,9046465.64,10,185988262.47,64
2026-07-06,3122833.92,16,1561325.54,2,8912761.27,10,197100262.22,64
2026-07-07,3119635.13,16,1551618.20,2,9021621.35,10,196472414.20,63
2026-07-08,3185141.25,16,1489574.25,2,9154029.50,10,197153989.24,63
2026-07-09,3380665.72,16,1406395.60,3,9286480.62,10,207691569.10,63
2026-07-10,3372245.28,16,1552207.20,3,9500215.20,10,208078771.73,60
2026-07-13,3426835.06,16,1493865.20,3,9431072.44,10,206479496.15,60
2026-07-14,3433269.08,16,1493071.60,3,9408179.71,10,216630819.29,61
2026-07-15,3456248.83,16,1502483.20,3,9525211.93,10,233349764.17,59
2026-07-16,3486714.77,16,1452151.60,3,9307109.88,10,232168259.45,59
2026-07-17,3460638.78,16,1365215.20,3,9144069.78,10,230599068.80,59
2026-07-20,3533349.23,16,1365215.20,3,9129735.81,10,234422960.68,59
2026-07-21,3529303.41,16,1394887.00,3,9169203.16,10,235972892.96,65
