Date,Hong Kong MarketValueUSD,Hong Kong Count,Japan MarketValueUSD,Japan Count,Singapore MarketValueUSD,Singapore Count,United States MarketValueUSD,United States Count
2026-06-03,5237616.33,17,1632829.52,2,6173943.23,10,184725281.09,50
2026-06-04,5107250.63,17,1598598.70,2,6087586.21,10,183825743.56,50
2026-06-05,5077882.35,17,1551975.94,2,6022341.97,10,178187418.28,50
2026-06-08,4923443.58,17,1510533.90,2,5944282.22,10,177902998.75,50
2026-06-09,4860790.70,17,1536414.56,2,6042263.98,10,177216435.95,49
2026-06-10,4821920.94,17,1516503.88,2,6003579.07,10,175935580.09,49
2026-06-11,4791376.75,17,1503523.35,2,6054482.15,10,178464311.21,49
2026-06-12,4984893.64,17,1507743.90,2,6075973.51,10,163173487.58,49
2026-06-15,3316586.87,17,1573343.62,2,6165396.83,10,157941736.25,49
2026-06-16,3326233.08,16,1535361.80,2,6260458.22,10,153788194.08,55
2026-06-17,3283661.97,16,1533539.00,2,6284936.19,10,150784709.41,55
2026-06-18,3212576.09,16,1534586.18,2,6334768.01,10,158966576.09,59
2026-06-22,3249019.59,16,1511481.26,2,6276006.94,10,157138351.70,59
2026-06-23,3207434.31,16,1508854.94,2,9045716.21,10,160624023.24,58
